"","Domain","Phylum","Class","Order","Family","Genus","Species"
"48cca88b5fd696759af6f9a7727830df","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",""
"9900add541a151a5a8e0f8371a3d868c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group",""
"9923513e0956640482ac89c3ec404c2c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira","uncultured_nuHF1_cluster_bacterium_HF0770_35I22"
"7055dbb24d296711a98e05bb6421f5eb","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"6766cb4035281129c8efd9c3a123f367","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_marine_bacterium"
"cb907f456e4cbcf1547ce84fa9801a59","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured","uncultured_bacterium"
"e83be0bfab54c28d7d37c5ecd3ef5afe","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7_clade","uncultured_gamma_proteobacterium"
"390ee206c4493f881f562359614bfacd","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",""
"b8e001e833ff46a37aaeb86c19d04984","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",""
"bf79c35c17655dabc9485374d7755966","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","",""
"99ed9e0a4ca1baea50f4bc9aacfdd4a8","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",""
"92d0cbb79cd4f80503c815a05ed0d449","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","uncultured","uncultured_bacterium"
"6b56095fb75059703240760a315aa969","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Bacteroidetes_bacterium"
"c3c645cb4a7e1f80fdc5a860eb9dddb0","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_delta_proteobacterium"
"c2f5505277bedf81df35438182187273","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured",""
"3c49cd245358eb7d25051a0f752547d7","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"1b130fda30e5d19cfad79fdd68ba79de","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_myxobacterium_HF0130_06F04"
"0eab7a7461b465b313434f8421907bf3","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus","uncultured_marine_archaeon"
"4b258e88205ba522d89f2e703cc1b8b5","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","",""
"16ea02ba9888c039a85193b50c70eedb","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade",""
"a746c819f10cc048ae46c325a6b88902","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales","Woesearchaeales","uncultured_bacterium"
"acc5d77f7b904ea6b616835c03100896","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","marine_metagenome"
"42502f924cf163ff0c46ce4fee4693b6","Bacteria","PAUC34f","PAUC34f","PAUC34f","PAUC34f","PAUC34f","marine_metagenome"
"61840278392933848981c94a2892ed30","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"a8ace9210cefa6fe50cbe2b994376b87","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus","uncultured_Cryomorphaceae_bacterium"
"f699b96d034b2934d3037fa4462a6f4b","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",""
"5bf613189c531f35f6b8cf63d5c41ef5","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","uncultured",""
"d0a8de09c1ec474c65122a5e9098d8f9","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",""
"416e123ba6bddbc7fc89544c52ce6b18","Bacteria","","","","","",""
"b55079e8108f288893223311350b152b","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","uncultured_Chloroflexi_bacterium"
"cb18de5998d75f45d13baa7ccfbaf8f2","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola",""
"30d84a261f87dcfed4b96b9409b1f4d2","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Green_Bay_ferromanganous_micronodule_bacterium_MNF8"
"4053a87f3eea0f513c37bcf43490bc8b","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","",""
"8ac8fd6322e9391b8e3760c5e92e69b8","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group",""
"b9e4a4c18367605d3e6dfc7edfea3679","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter",""
"e7b4b19f80e8326bc41e5f8c53ee8411","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","",""
"9f1f5fc31c2512c4478d11ab986f07b3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter",""
"65943fdca76292d32ac6e878a188069d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_aquatile"
"a40458964d5117cf5aa814cf455ebc73","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans",""
"374d083cbc1d40d3a04a6595aa2a79c6","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Arctic97B-4_marine_group","Arctic97B-4_marine_group","Arctic97B-4_marine_group","hydrothermal_vent_metagenome"
"49e253188745983feebd85cdb6844211","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","SAR11_clade","SAR11_clade","uncultured_bacterium"
"c4de1ed212958fba3390168c18d67e87","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",""
"45c2f9b902e4493413f14c5403d35e04","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Oleispira",""
"de475bf85264742139948f27d401459d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","uncultured_Flavobacteriia_bacterium"
"deabcfb0ccf6e5b8758c6a19812c837e","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_bacterium"
"38692e57f0b4c83185a1474acd4fe0f3","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","uncultured","uncultured","uncultured_Rhodospirillaceae_bacterium"
"f1c85e921cd43fbf23a8b22d4c2b53b9","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",""
"a601c5bd606c1c5b75b24fb7b90e4877","Bacteria","Proteobacteria","","","","",""
"93652896269082b06c06fd4dffde6dd7","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus","uncultured_marine_archaeon"
"919cd6c64017ebff029dbf60dae198a5","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","uncultured","uncultured_marine_bacterium"
"f80e4bdd59a29e8e2b4f62902095eb69","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group",""
"ad5cfb8a88b3a0994d8c06095223f71c","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","uncultured_Cellvibrio_sp."
"d5c06c60335ea848cbe251c5bf96bcbb","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"b22ef1b280138d6366a659d3f558662a","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","SUP05_cluster",""
"80b10bc9f203603844a7a822358be523","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktotalea",""
"5acf2f8e78a4299e0bf451f4709cfc92","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade","uncultured_Oceanospirillales_bacterium"
"869e325e7c08c8513ada38b85d2e9f93","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","uncultured_Flavobacterium_sp."
"4bbc6737efa3f5a6f41a3df3ef478c31","Bacteria","Desulfobacterota","Desulfuromonadia","PB19","PB19","PB19",""
"8c9964a77782bcf9f4b65ff4de3d23bc","Bacteria","Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11","uncultured_bacterium"
"9e51b0aa3365eb42d34903b51a386ccb","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Uliginosibacterium","metagenome"
"3fbf949b2df4e6efe0e13bad1023a796","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","uncultured_Bacteroidetes_bacterium"
"5361362445e7e5ad85cfc63fc8537ba9","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisella","uncultured_bacterium"
"708e60cd57ae67e84bcb62a05b7bd856","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","",""
"ff96a0d21d050291902523f8c4dedf9c","Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II","Marine_Group_II","metagenome"
"f22559b9da0ebd6fea1f01578c89cbca","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_bacterium"
"9db4b296cb7cce44d91832f4c7e2d169","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured_bacterium"
"b894401e4202b0a40bf8b64444a597e7","Bacteria","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","uncultured_bacterium"
"999e5912abb5ce10ac717c9bab4e4592","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","uncultured","uncultured_marine_microorganism"
